id,question
11c93be39a2819fec36e2a6b,Does patient 65759 have a record of hypotension nec in his / her family?
fbbd2e1b86a772b593ee1bb9,Does patient 3125 have traveled abroad?
0b9e4acffe9d8f86bd9be2bf,Will patient 97121 get any additional stool (received in transport system) test?
96055c134a9e795b09937032,Are you letting me know if patient 14397 is subject to covid-19 testing?
59217d3eca4038fcc33993f0,Tell me about all the medications that patient 99080 received in the other department.
f9f4d6def655d54dcbd63348,What is the dose of opiate prescribed for patient 8908?
778dec17c4569dd7f4da476a,What kind of medicine does patient 17638 take after they got the instruction of another department at our hospital
90b567e91dc4ca2e45144a58,What is the standard amount of reimbursement for a drug?
d4667791b23ee3c61987de79,Can i tell if patient 1205 has need prphyl vc vrl hepat in hisher family?
cc6cddf1a72c4c14b010fdf1,What are the the single rooms that are available now?
ef1717a5f8cb73c78748607d,What is the disinfection technique in a quarantine room??
2701dd64f96330440b0d5b10,Is a genetic test that patient 95057 has had?
5e25f7703857496eb27b9a2a,Has patient 13329 experienced any side effects during a blood transfusion?
df2943ec147894b6e5bfbe4f,What is dr. caron's outpatient schedule today?
6c72b9c6d194e26c1ee7f466,Does patient 21134 have any history of depressive disorder nec in his / her family?
a39b48bf94054784fed63d35,What is today's outpatient schedule with dr. welling?
ee03c89cedfa0f30f24da326,What is the prescribed opioid dose for patient 739?
5e947ca43ffbad49cde64c05,"I mean, what is the reimbursement standard for cerebrovascular mri?"
dac65a4d9eca6e3f5529ae4b,What should i do in advance of bile duct incision nec
6ea26188016a8e0dcae6f2ca,When are dr. shears's rounds and procedures?
1b5f2850fe93f1eb4438b9dd,When are dr. holmes's rounds and procedures?
3917dc2e272fabe6467257d2,I need the name of the diagnostic that patient 31510 received in the other department
b56a5ca8c263bc1137aded80,What are the immuno-cancer drugs of last 5 years.
6f9909683d56ed89f9e559bc,Is patient 20589 a person with a family history of any health problems?
11608a4c97632da4a6c7043d,What is the name of the drug which should not be administered during the venous cath nec procedure?
133bfd224364a0a162d9e323,Does patient 57050 have some overseas travel history.
71d04374ffadf723feb6a4f5,When are dr. ford's rounds and procedures?
1dbe09373cc9df99e58c1b27,Can anyone help me determine the code that corresponds to icd-11 and for preterm nec 2000-2499g in icd-10?
b3b289b80bbadf3f9be2ebc4,What was the time it took for patient 14467 to undergo cv cath plcmt w guidance?
7bd0fb1be2b05eacb63558d9,What do the precautions be after the spinal canal explor nec procedure?
cdba77ccb92d5b91ada3a6dc,When will patient 31854 be next seen by the hospital?
f4222a52ce7d21c3c9d3c000,What are the precautions that are incurred after undergoing a oth transureth prostatec procedure?
cc37854387e108740577c491,When was last time patient 65759 had a medication that is something to take all the time...
a8ce51c1370a7fb07b65da1c,What's the protocol for anticancer drugs?
be52dc50e6aaa98ddf135fe9,What is the reimbursement model for drug?
582b1e6739323885d6dd7148,What are the precautions to take after the packed cell transfusion procedure?
8e4ed37b59452ca69b3481b2,Which method of disinfection is in the quarantine room?
129e758237d6a21a110b1f7c,What is the ward id that patient 3929 can be admitted?
368476b74ef69f3552e2cb3d,Describe all prescriptions that patient 54894 received in the other department.
6897e02993c3a8b24377556b,Has patient 9241 ever had any complication when undergoing a blood transfusion?
ad15992e182e0964c4084195,What is the opioid dosage prescribed for patient 7107?
001613e40181055fecd8dc18,Tell me the prescriptions patient 88180 has received from the other department.
9446bf724e050f51ed6448e1,What's the ward id that can get patient 56490 in?
634b0f8deeebe3bcb1a50a09,What is the dose of prescribed opioid for patient 30826?
4280ebde89a88a7f5565d9dd,W/is the code that corresponds to icd-11 for stomatits & mucosits nec in icd-10?
b587cd8c1c145a6a99b52e8e,What precautions should be taken after a rt heart angiocardiogram procedure?
01898f9cb797a1bb35415331,Could you please tell me the name of the diagnosis patient 23002 received at another department?
ee04b4b7af645ba90c2bd384,What's the reimbursement standard for pharmaceuticals?
2a3d19cceb7e76962f6d84e6,Tell me all the prescriptions that patient 13054 received at the other department.
76c552ca9be899eab747b7a3,What is the name of the drug that should not be administered during the spinal canal explor nec treatment?
d531eb280735fb30a757905a,"Will patient 7165 be provided with any additional urine,kidney test?"
0b6c432395ef9fcbfe105e93,Has any side effects been experienced by patient 3267 during a blood transfusion
650faa5ad60fd0f4f2dee70a,What is the procedure on anticancer drugs?
7b58a0880a46238d4e9722c0,What to prepare for the pulmon art wedge monitor procedure?
e054b776ce8b992288d3a151,What is the outpatient schedule of dr. swain today?
56a8d8e09edb2cee2e4d93a3,What is the medication that patient 4469 takes after that other department gives them?
c152c5dd0a1f2626db79696c,What is the ward id that allows patient 55247 to be admitted?
5401b6a61d136580b9f69be2,If so is there a genetic test that patient 26218 gets?
ae2b2591d8e2e64d87cd4240,List the single rooms that are available now?
0688645b190580e5eaf4bad5,How many operating rooms are available now?
c868b0184dd86f732c24d8f6,What immuno-cancer drugs are in use over the last five years?
3a2f38d0445a8f3784327832,What was the other myectomy time for patient 4718?
35845dbc8e2d2791d609cc18,What is the reimbursement standard for genetic and chromosome tests?
37919d0f8db2140219307c6f,Have patient 14990 an appointment in another department?
cbb2aecba43342d92debc795,What is the dosage of an opioid given to patient 21110?
60d0f145200cc583dc1c9dbb,What genetic test did patient 70234 undergo?
3831c2c777259f2c220dcceb,Tell me the type of blood of patient 13440?
b6cca58570a4d4174cb71b3e,I want to know the reimbursement standard for cerebrovascular mri.
64633965444f470a4ca586e8,How soon is patient 4758's next hospital visit?
dd91706df84d8357cdef457f,What are the immuno-cancer drugs that have been on for the last 5 years.
17a79ba0e1aeb153b34e461a,Tell me the dose of an opioid prescribed to patient 1258?
e50c094ffc2b4008e3005839,What is the reimbursement standard for cerebrovascular mri
c673226d59266c9f24c1559d,Does patient 70206 have a traveling history abroad?
7bd54b9aeab884f12aad013d,What are the single rooms that are currently available?
03b89b45a7325ecb997b183f,Do you have any suggestions for preparation for the temporary tracheostomy procedure?
06445e2823bf14c47a058abe,"Has patient 19412 been administered any additional fluid,other test?"
dc99421b0fa75072b7fc597f,Which method of disinfection in the quarantine room is?
279b2975d141762b456cd18d,Tell me the name of the diagnosis that patient 10855 received in the other department
770ad5d0ecd285dc97b984b2,Is that patient 5849 has an appointment in another department?
7a2a83f4a894b5b5f2076da6,What is today's outpatient schedule for dr. gaylor?
bb21fc57075b8a90bdec2466,What is the standard of reimbursement for chromosome and genetic tests?
9e339e1a8f7393ed2f0a342e,What are the new single rooms?
36f1d4c5bd1c63cf74545e1f,What is the code in icd-11 for renal & ureteral dis nos in icd-10?
a978c41bf772b0328ae1c73e,Please tell me the exact prescriptions patient 4269 received from the other department.
58be20bc10780428cb236a2e,What are the precautions to take after the opn/oth rep mtrl vlv-tis procedure?
1938082694abfabf0da88e32,What is the reimbursement standard for the genetic and chromosome tests?
cb605fd1d340ab1ad0afe330,What is the drug to avoid during the exc/dest hrt lesion open.
d110cb39c939189ff2381a4e,Do you know how many operating rooms are currently available?
367b2116257001fe013bc048,When is the earliest next visit of patient 8773 for other departments?
3df956fea1348d1046fdd09d,When are dr. oneill's rounds and procedures?
304190e81318d73ef0c5f885,What is today's outpatient schedule for dr. knight?
3753ef6947f42f1a4e5a6a63,Has patient 9474 ever experienced any side effects during a blood transfusion?
da71745a0892dc4e3347b091,What is the method for disinfecting the quarantine room?
0d8f8539a8e82f5daa90562f,What precautions should you follow after the cont inv mec ven 96+ hrs procedure?
8ad38d6021157f461e8be73d,What is the list of things to do before you go through the incision of mediastinum procedure?
762190765b6e9b306ee94b34,What is the earliest visit of patient 97834 to other departments?
f482fa51f88bdcc934bc4754,Can you list the single rooms that are available for rent now?
ae863d8431919bbfb1dca0db,What is the outpatient schedule today for dr. solis?
45e96cdfdd32151dd3592509,What is the history of immuno cancer drugs in the last 5 years?
d53c2b6d7e4bf45b77a8dd12,What kind of blood patient 85700 has.
859635e6c88f004f9e9f32da,When are dr. martin's rounds and procedures?
92b7fb1f0888976bb221ed1d,List the preparations for cv cath plcmt w guidance
819106b66507d6daacc3feba,What's up with the single rooms now?
6daf43327893e27cc1c785bb,What are the precautions that should be followed after the procedure of coronar arteriogr-1 cath?
23016e3fbba29157468b85f0,What is the type of blood patient 10431 has.
b4ebdda80c6329d3a8363c7e,Do you know of the drug that is not to be administered during the refus lmb/lmbsac pst/pst procedure?
95a56ae5ea17a6e60f36afb6,Can you provide me with an example of how many operating rooms are available now?
906878394c7c53d1c7d622c0,I would like to know all of the prescriptions patient 21003 received at the other department.
5442daaf8455ec924ced4a84,Will patient 99082 be given any additional stool (received in transport system) test?
5d0429ce6caa78a35b8b997e,Tell me the id of the ward where patient 55281 can be admitted?
970112eab9858a27e20a091f,Can you please tell me the name of the diagnosis that patient 73693 received from the other department?
f2298b0bf7b7aa99bc543176,Tell me the method of disinfection in a quarantine?
69c7281826029c1b41a34049,What is the dosage of an opioid given to patient 4469?
bb8a1fa7460a1e93f7fe94cd,What about the single rooms which are now out there?
7824e920bc0ac651cb49b706,Which immunocauteries have been used for the last five years?
412c53a53a3b1c06f1f68772,What was the time it took for patient 13528 to undergo c.a.t. scan of thorax?
4cc7f474aee41be6f9a8dc37,What is the code in icd-11 for klebsiella pneumoniae in icd-10?
d8cceb3ec5f0418b29f0a459,Do you think patient 31615 has an appointment in another department?
adfd9a5399c408d1e11a4aa2,What is the reimbursement standard for gene and chromosome testing?
1f400039f5811e19f5da4593,Do you think patient 29540 is subject to covid-19 testing?
e8be8d8ac70685f324507cdc,...when was the last time that patient 60219 had a medication that should be taken regularly?
34586824e9cd0af359187e34,When are dr. williams's rounds and procedures?
9eaee8b12a9d726c44201f25,Do you remember which immuno-cancer drugs have been used over the past five years?
408a90b2c2390990c83c0be0,When was the last time patient 32592 had a medication which should be regularly taken?
1c513ac8c299151372834f1a,How many operating rooms are there now?
44fdec17266371ad7f7871d7,Is patient 85169 to have had a travel history overseas?
af07d2b195d6add6909c4f64,When will patient 17953 next go to the hospital?
54ce172ad4dee0a2a6d24cd0,But does patient 11426 have an appointment in other department?
dd41fa87a9bb005a4d9cfe78,"If it is a cerebrovascular mri, what's the reimbursement standard?"
6992e079d5cc2aa7a2bb6cbe,Does patient 5142 have a travel history from overseas?
44976b84ff1c95d71e982f32,What immunocancer drugs have been used for the last five years?
1c0fc6d294954a3775cc36df,Does patient 23436 have a appointment at another department?
358fa6004175aca2698df8bb,How many operating rooms are currently available?
4e9aac252394c9a79ea2005d,Will any additional blood culture test be done on patient 76275?
ded63a32010e347a3a99d26d,Ist patient 5142 subject to covid-19 testing
177414b028ffe63adf88e436,What is the checklist before the therapeu plasmapheresis procedure?
0c1c6ad6a0a679043de5adc2,How long ago did patient 52647 receive a medication that should be taken regularly?
38e2f42ebf3b484fd618abc2,Does patient 54386 have any overseas experience?
3c0cb65bd0831752922d8073,Is patient 3273 aware of any ill effects of blood transfusion?
58c7b81fff91803d70fcd674,What should i do following the coronar arteriogr-2 cath procedure?
dcfb3bfb9c133a83a862251a,How should we disinfect the quarantine room?
9838b1b25dbb387afc8f07aa,What is the prescription dose of opioid for patient 31306?
371d12824fa1ffd7ef5e90e7,What is the dose of the prescribed opioid for patient 99647??
af69042027761577e56622e9,What is the length of time patient 89875 had to undergo packed cell transfusion?
5af27d478c355763b0000b8b,What are the precautions to take after the inc/exc/destr in ear nec procedure?
d8ee53098c33deb8fdb3b50b,What is the type of blood patient 97330 has.
d11f27c0322c15dc8f10c8b2,What is the reimbursement standard for cerebrovascular mri?
def40a677b6ecbf4f1bd3de2,The earliest hospital visit of patient 99661?
96487dd035f8b985f4b01677,When is the earliest of patient 31880's next visit to other departments?
821e3fe48e8557a30caa67cf,What is the checklist you should prepare prior to having destruct chest wall les?
73bfff1ea31aa4d903100d70,What is the code which corresponds to the icd-11 for cerebral edema in icd-10?
42338b681fd350441ca9efc0,Do patient 19894 have a appointment in another department?
a6dfce8ef3e5a14b57bd2d11,What is the correct dosage of the prescribed opioid to patient 19428?
3968a40f9da4c7f52e8f7dea,What is the dose of the prescribed opioid for patient 76372??
214a7cc494b5ad3fd78e9765,"So, when is the earliest patient 28343 is going to come in the hospital?"
6b5916a645e1dcf8aaef7a8d,What is the name of the drug that shouldn't be administered during lt heart angiocardiogram?
b0e33df4abb89b92c708cf89,Tell me the icd-11 code for fetal/neonatal jaund nos in icd-10?
58820822f031297565e686b7,Wanna the last time that patient 26799 had a medication that should be taken regularly?
5a4f493fdb61cf9a1f898407,Tell me the protocol of the anticancer drug?
b6cdfe2edf6838e152af3c54,What the name of the diagnosis that patient 14467 received in the other department?
045bf7ee10229a2cde7504e7,What kind of immunocancer drugs have been out for the last five years?
785d76bc0b177869d3d36d87,How many operating rooms is there now
ee73ce9db61eca17bccfc7ee,Does patient 57050 have a past overseas travel experience?
8f3012a3f38700d9fef0fbad,Is patient 23070 a person with a family history of any disease?
5661fb129ea343e46075bab5,Tell me the type of blood of patient 31854?
e8fdd9acc2da7140baf49188,Does patient 95470 have reflux esophagitis in his family?
d72f15251b85ed2e1b191e0f,List the drugs that should not be administered during procedure-one vessel?
38cab6c7f7f7fe731b55ebde,What is the code that corresponds to icd-11 for ac dvt/emb distl low ext in icd-10?
c6b942401a65b3fa2db93ef0,What kind of blood patient 18866 has.
f6a020353c429522bafc3321,Has patient 13528 had any ill effects during a blood transfusion?
a0cdae836281b14960231c43,What is the list of things to do before you go through the endo polpectomy lrge int procedure?
7183861df46553ab538458ae,Whats the protocol for the anticancer drugs?
676f00b844b8685a14e6582b,What is today's outpatient schedule with dr. smith?
1688c6b7696b2a979945cb6c,How many operating rooms exist right now?
9c48cfc44e14602d0728ed28,What are the single rooms available?
137099cf125111be9c3e94c3,Is there a method for disinfecting the quarantine room?
bcaec1a9a3a9b59caef1e49a,Is there any record of cardiogenic shock in patient 83182's family?
9235d1bea2de86e8bfe34a29,Do you know the method of disinfection in the quarantine room?
88f1c32259e7e65db186fc61,Tell me the protocol of anticancer drugs?
d7c14bbe3a56d6a3b48cc26d,When did patient 94757 last have medication that should be taken regularly?
933c11a9ca710be4b2120713,Has patient 9038 ever experienced a side effect during a blood transfusion?
f5ddb5194586e227ab8610fc,I would like to know what dr. reeves's on today's outpatient schedule.
8a498aa27f9b433e78ba0a00,What is the type of blood that patient 60136 has?
6ef2183a66a1c25b6446eee9,How long did patient 18457 receive below knee amputat nec?
1e114a0ca464f5bf590ace7d,Do you think patient 24132 is subject to covid-19 testing?
ea3b6816231eff47e5f4ff99,Well tell me what to do ahead of the left heart cardiac cath procedure
486be4b5d2429d76a159f7bb,Can you please elaborate on a ward identification that you can use to admit patient 64292?
53cdff279789d1183c4e5a86,What about the single rooms out there now?
d2d60e3fb7175ae8e24658d9,Tell me what diagnosis patient 32153 received at the other department.
4b381a5f887c98f632753d0c,What is the protocol of the anticancer drugs?
5132adcd87a30d937fa216b4,Can you please share with me the name of the diagnosis that patient 95909 received in the other department?
22f6471acc2d184e7cfeeb6f,Tell me the blood type of patient 58649?
ac175862df937e28b15bb023,When was the last time that a medication that should be taken regularly was had by patient 594?
3afcd24ffddc745b26111a19,Does patient 20000 have any inherited disease?
a3bc01d2aacfcab611fc1c53,Please send me the name of the diagnostic diagnosis patient 5828 received at the other department.
67a50aa49b80a0cadb830e34,What precautions should i take after a exploratory laparotomy procedure?
29a1dcd96e7a8c556183b81f,Tell me the protocol of anti cancer drugs?
029b91056c419bf0d15c3c15,What precautions should you follow after the nonop cardiac/vasc exam procedure?
00979fbe4ba004cc20246b9a,Patient 15209 is subject to covid-19 testing
c6ff88c99785463abe05ab14,Does an appointment have been had by patient 17462 in other department?
e51c2dd489fa0ebf1c2b7700,What is the protocol used for the anticancer drugs?
60fa5859e5561740ec7d024d,What is dr. turner's outpatient schedule today?
fccae88f01f7fd8906029a4f,What's the ward id patient 90165 can go to?
d9d32742eb8e9436fd593092,What is a drug that should not be administered during cont inv mec ven 96+ hrs?
6fa5f1bd8164edcb10243287,What is the ward id that patient 10278 may be admitted?
7c03a7d1027f6d34619316ee,Will patient 739 get any blood (ebv) tests???
c9b9077631942180f3a3b0ed,What is the precautionary measure following the head & neck endarter nec procedure?
ab4e7468a6d2dfc3bdbc9ff6,Is patient 15821 having an appointment in another department?
f67d746e41ace34ddad71fba,What is the protocol of anti-cancer drugs?
9c5b3244cf12068e0fc12891,Will patient 28443 receive any additional immunology test?
77020ee533db2c04412900f0,What code is associated with icd-11 for helicobacter pylori in icd-10?
f14d881d1381c847c13301a6,Did patient 73713 have overseas travel history?
cb7b80bbdfdc960e82ea8bf3,What precautions should i take after a pros repair atria def-cl procedure?
d34f3b955bd78b3126293e64,When did patient 10855 last take a proper medication?
8f6f18c72c81b1627f391252,Has patient 23070 ever experienced any side effects while receiving a blood transfusion?
09defcd24314b8496fb3d74c,What is the dosage of the prescribed opioid for patient 9619?
6fbc822299d5ed6324fb6280,What immuno-cancer drugs have been in use for the last five years?
7cf79d6d78b98237ceed2c66,What is dr. robinson's outpatient schedule today?
b0fa39290a379ac3962d1215,Does patient 12410 have experience with overseas travel?
bb9f9e41ece52e577d67ea85,Is there a code that matches icd-11 for male gen inflam dis nec in icd-10?
826d5f58864744f66f50a9f1,Is patient 44848 subject to a test for covid-19?
bbb5e4ef8fa79866856181d3,Patient 99747 is subject to covid-19 testing
21e6de874970fa7ae9510d18,Does patient 6170 have previous overseas travel?
425004d751172cad53c3ad6b,Do you know what type of blood patient 1903 has?
17c962c6c3323c0e76fe972c,Just a quick look closed bronchial biopsy but how long did it take for patient 28443??????
4c853a58d04f9b3b5fb7cf1c,What is the id of the ward where patient 40707 can be admitted?
753481148eded16306edf567,What is the ward identification of patient 15968 able to be admitted to?
f1d835a5bb021603f18ae280,Do you know patient 9566 went to another country?
abe89412efcd41bf266d253a,What is the name of the diagnosis that patient 30267 received from the other department?
21dbea03500cf77a64577287,What is the name of the drug that is not to be given during packed cell transfusion?
5b0182b6de80a169f35424ab,What is the name of the drug which should not be administered during the insert intercostal cath procedure?
3ab5f4f4e306a69472e20429,Has patient 23224 an appointment in another hospital department?
6e3ef13b7c663dcb6c9945ec,When was the last time that patient 10266 had a medication that should be taken regularly?
edf02ff65e3bddb4db278a87,When was the last time patient 83182 had medication that should be regularly taken?
efc40de8a506d0e04de52dd0,When and where are the rounds and procedures of dr. coburn?
a1a5f421d9b782f7e987091a,When and where are the rounds and procedures of dr. conerly?
99282beda9432fdc84953229,Has patient 27146 ever had any side effects while he/she is receiving a blood transfusion?
5c872eafe61305c165ef7490,Tell me the reimbursement standard for a drug?
44b3905875474271bf26457e,What are the reimbursement standards for cerebrovascular mri?
40adf249c767a37afb9398c6,What do you do to disinfect the quarantine room?
76b2409a30b5bbbeab3d334b,Has patient 7112 had a family history of a disease?
3ee6a4091b6e165e3eab53d4,When is the earliest appointment for patient 14467 for other departments?
24ebd2bae7cfabd18b6ce9c8,Does patient 46528 have a history of overseas travel?
5da9ae74c519002875122c59,What is the drug that isnt to be taken during opn/oth rep aortic valve??
e2c201a20662ad1fab6cc5ef,Has patient 2127 had an appointment in another department?
6b42551afc7b875d354f4b01,When are the dr. gutknecht's rounds and procedures?
290b08ec95402e357dd162b0,Can you please tell me the name of the diagnosis that patient 54894 received in another department?
613174eb83b532fe4e38b7fc,What is the name of the drug that should not be administered during the total splenectomy procedure?
4b5563f6063f368aaf4d032b,When is the earliest hospital visit for patient 92721?.
a410edd0be9764d12a841458,Has patient 52018 an appointment at the other department?
c8620b45b18ebc1c914a2581,Does patient 3242 have a family history of malign neopl prostate?
c749d56aa8cacdcfa66338ba,Tell me all the prescriptions that patient 83062 received at the other department.
1e888452b37ac8ca86b6980c,What the code that refers to icd-11 for senile dementia uncomp in icd-10?
72ad619b7c1288429ab0e7e8,Does patient 32163 have any abscess left?
a5de915902ae68f1b9298fce,When was the last time patient 46528 had a medication which should be taken daily?
b081cbc08146d7b9ab265566,Does patient 69761 have a scheduled appointment in another department?
21a13676c67585e41b8f6a67,Dosage of opioid prescribed for patient 8116?
9c4faa51bc29012ddcee7e11,What is the ward id that patient 19175 may be admitted?
0dd4139bd1f8141dabb5746b,When will patient 92846 be next seen by the hospital?
fb62db48ad7712c787e1d173,Tell me the dose of the prescribed opioid for patient 90019?
a6c506df1317e23580129055,Does patient 6921 have an overseas history of travel?
c905e6677e0cbf329230ebf2,Is patient 14054 subject to tests to determine if he has covid-19.
6ef2fe833cee5960612ae052,Does patient 10211 have an appointment in other department?
f3e47e3f679e8381a5c4a2b6,Tell me all the prescriptions that patient 10539 received in the other department.
7acfb197a239ef58e7f08525,When patient 9619 is scheduled for the earliest hospital visit?
bf885e40699431f501098369,How does one disinfect a quarantine room?
3189eb16865c13742abd3f7a,Is patient 12726 scheduled to have an appointment in another department?
054b6f8bf46fb8b641b71498,What is the name of the drug that should not be administered during the endovasc embol hd/nk ves?
10ed8799a239ae7d1d0f79c9,What is the correct dosage of the prescribed opioid to patient 42829?
d01b05000d59848ec7db20fc,I would like to learn some tips on how to prepare for the tachypnea procedure.
ce91ec91b6aaa48439b33e96,What is the procedure of the anticancer drugs.
11bb6b4e96dfc29737cec768,What was the duration of the circumcision procedure for patient 3277?
83e367047d0aa921f3cb6d91,When are dr. lail's rounds and procedures?
a54cc5aec8ac14dc7dd2bdbe,What medicine does patient 84476 take after being prescribed by our hospital's other department?
4244cfa368679a0ccc3f5672,Does patient 65309 have a trip history overseas?
2cbebf97accbbf3a5041776c,What is the outpatient schedule today for dr. leigh?
eae3d736ea15573510314df8,Please tell me the name of the diagnosis patient 30267 received at the other department.
411e30b09a68ac73906064aa,What are the current numbers of operating rooms available?
5497d84d98c1646706086e2e,Will they have any urine test done for patient 24268?
cd7621aeaf5bf1a22ca8394e,Has patient 91768 ever had any additional blood culture tests done.
94565cd9b8a667a9b65034a4,I am curious what the protocols for the drugs that work to treat cancer.
bbfa77367f4475e333c7a834,What is today's outpatient schedule with dr. burgess?
42b32b8c9018073085ea61c5,How many operation rooms are now available?
e45d3d0893b986609bb61212,What should not be administered during a proc-vessel bifurcation procedure?
fa3f52c79b018b43a9e8090a,Can you list the single rooms that are available today?
55a82d52a8bcc98c682b8a78,How long did patient 26286 have to undergo contr cerebr arteriogram?
ccb20fe5f0ec69b335b58f1c,What is the outpatient schedule today for dr. minutillo?
08eeb31e70fedda9acf60d5d,When will patient 57023 be able to visit other departments?
8fb8495a86fc33185eb96c55,What is the protocol of anticancer drugs.
bbe2b568ffdaf7c89fb508ab,How long did proximal gastrectomy take for patient 366?
b6b8fff2d091a4950a8656fc,Did it happen on the last occasion that patient 16248 had a medicine they should take daily?
26e74aadac80448d7df8bab6,What immuno-cancer medications have been used for the last five years?
e6251eca229881bceb8a97c7,I would like to know what dr. garcia's on today's outpatient schedule.
2c4e0725c06cb24d740f8090,Which immuno-cancer drugs were used for the last five years?
b99ca86c27c7418b8cadc2bb,"Currently, how many operating rooms are available?"
3c678de40d16a9eae2e6f6dd,Are you letting me know if patient 3677 is subject to covid-19 testing?
645da0fe1582ef9cccf3adb7,Is the type of blood of patient 12775?
662b2f7dbfe34ec1b9a8e485,How is disinfection performed in the quarantine room?
e3e406fe664e626c9595b4ec,Is there a test that patient 65759 had been given?
db037fde5163630eb1dacbe1,Does patient 6440 have a history of travelling overseas?
d9e6af32ff852ac88dc76577,What is dr. barna's outpatient schedule today?
